table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
DogsInfo,dog_hair_type,Dog Hair Type,7,1911,0.37,F,shouldn't,,created_at
DogsInfo,dog_hair_color,Dog Hair Color,1352,1911,70.75,B,should,,created_at
DogsInfo,dog_gender,Dog Gender,1,1911,0.05,F,shouldn't,,created_at
DogsInfo,dog_sagir_prefix,Dog Sagir Prefix,2,1911,0.10,F,shouldn't,,created_at
DogsInfo,dog_chip,Dog Chip,9,1911,0.47,F,shouldn't,,created_at
DogsInfo,dog_dna,Dog Dna,1,1911,0.05,F,shouldn't,,created_at
DogsInfo,dog_breeder_name,Dog Breeder Name,50,1911,2.62,F,shouldn't,,created_at
DogsInfo,dog_owner_fname,Dog Owner Fname,0,1911,0.00,F,shouldn't,,created_at
DogsInfo,dog_owner_lname,Dog Owner Lname,0,1911,0.00,F,shouldn't,,created_at
DogsInfo,dog_country_id,Dog Country Id,1910,1911,99.95,A,should,,created_at
DogsInfo,dog_mobile_phone_code,Dog Mobile Phone Code,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_mobile_phone,Dog Mobile Phone,0,1911,0.00,F,shouldn't,,created_at
DogsInfo,dog_owner_phone,Dog Owner Phone,0,1911,0.00,F,shouldn't,,created_at
DogsInfo,dog_tests,Dog Tests,0,1911,0.00,F,shouldn't,,created_at
DogsInfo,dog_titles,Dog Titles,1098,1911,57.46,C,consider,,created_at
DogsInfo,dog_notes,Dog Notes,3,1911,0.16,F,shouldn't,,created_at
DogsInfo,user_id,User Id,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_type,Dog Type,1911,1911,100.00,A,should,,created_at
DogsInfo,dog_sagir_id,Dog Sagir Id,1790,1911,93.67,A,should,,created_at
DogsInfo,created_at,Created At,1911,1911,100.00,A,should,,created_at
